package,total_downloads
anybadge,1687868
anycrc,1814091
anyio,862781340
anysqlite,2052530
anytree,6145392
anywidget,3024986
apache-airflow,20464000
apache-airflow-core,8098059
apache-airflow-providers-airbyte,2970260
apache-airflow-providers-amazon,7756319
apache-airflow-providers-apache-impala,3454252
apache-airflow-providers-apache-kafka,1912108
apache-airflow-providers-apache-spark,1099835
apache-airflow-providers-celery,2249069
apache-airflow-providers-cncf-kubernetes,16526220
apache-airflow-providers-common-compat,20602621
apache-airflow-providers-common-io,9161335
apache-airflow-providers-common-sql,45905078
apache-airflow-providers-databricks,21278460
apache-airflow-providers-datadog,1812094
apache-airflow-providers-dbt-cloud,1780865
apache-airflow-providers-docker,3832240
apache-airflow-providers-fab,28483065
apache-airflow-providers-ftp,14504434
apache-airflow-providers-google,13466714
apache-airflow-providers-http,22486002
apache-airflow-providers-imap,15590741
apache-airflow-providers-jdbc,1787392
apache-airflow-providers-microsoft-azure,1968489
apache-airflow-providers-microsoft-fabric,5699569
apache-airflow-providers-microsoft-mssql,3970965
apache-airflow-providers-mongo,1737876
apache-airflow-providers-mysql,13819014
apache-airflow-providers-odbc,1900755
apache-airflow-providers-openlineage,2063948
apache-airflow-providers-oracle,1883167
apache-airflow-providers-pagerduty,1510437
apache-airflow-providers-postgres,2759885
apache-airflow-providers-redis,1158174
apache-airflow-providers-sftp,3870765
apache-airflow-providers-slack,9450522
apache-airflow-providers-smtp,13373897
apache-airflow-providers-snowflake,21041592
apache-airflow-providers-sqlite,14997206
apache-airflow-providers-ssh,14760680
apache-airflow-providers-standard,5021597
apache-airflow-providers-tableau,925488
apache-airflow-providers-trino,1257094
apache-airflow-task-sdk,5920326
apache-beam,6587187
apache-libcloud,890035
apache-sedona,2075122
apache-superset,3733630
apache-superset-core,419988
apache-tvm-ffi,6741358
apeye-core,960511
apify-client,2090609
apify-fingerprint-datapoints,1418142
apify-shared,1638254
apispec,15831638
apkinspector,1767737
appdirs,35487924
appier,3280594
appium-python-client,4047643
application-file-scanner,1134832
application-properties,1351911
applicationinsights,9763886
apprise,11248152
apscheduler,35548462
apsw,3106946
apswutils,592311
aqt,2022770
arabic-reshaper,4872856
arch,1021876
archinfo,930389
argcomplete,73187943
argon2-cffi,66074691
argon2-cffi-bindings,66048077
argparse,23112962
argparse-addons,4578187
ariadne,1549157
ariadne-codegen,1377336
arize,916813
arize-phoenix-client,947541
arpeggio,3112826
arpy,108725
arq,3673726
array-api-compat,1871992
array-record,2976766
arro3-core,10050771
arrow,74005177
artifacts-keyring,1208550
arviz,3513187
arviz-base,409003
arviz-plots,405566
arviz-stats,506124
arxiv,16615945
asammdf,973463
asana,8787982
ase,1888162
asgi-correlation-id,3294919
asgi-lifespan,9928921
asgiref,122475768
asn1,1264506
asn1crypto,154487424
assemblyai,1887771
ast-serialize,53912590
asteroid-filterbanks,1846751
asteval,5348976
astor,29948952
astral,1078765
astroid,50029370
astronomer-cosmos,15298912
astropy,6533655
astropy-iers-data,5989504
asttokens,127664239
astunparse,14469625
async-generator,5746130
async-interrupt,624421
async-lru,54038736
async-stripe,1155491
async-timeout,194775226
asyncache,1232441
asyncer,7584127
asynch,3437140
asyncpg,93060656
asyncpg-stubs,2246936
asyncssh,18321966
asyncstdlib,4549466
asyncstdlib-fw,658725
atlassian-python-api,17137394
atomicwrites,4514747
atomicwrites-homeassistant,400707
atpublic,6631275
attributes-doc,319903
attrs,840739266
audioop-lts,7579265
audioread,8512994
auditwheel,1858482
auth0-python,5774623
authlib,128849227
authzed,894683
autobahn,5677313
autoevals,4379885
autoflake,5559952
autogen-agentchat,1402948
autogen-core,1292760
autogluon-common,923035
autogluon-core,991159
autogluon-features,980027
autogluon-tabular,1025415
autograd,4649727
autograd-gamma,1773881
automat,12091497
autopage,1361292
autopep8,9139659
autovizwidget,1559360
av,26507653
avalara,1193465
avro,15779561
avro-gen3,3136690
awesomeversion,547313
awkward,1057735
awkward-cpp,1029755
aws-cdk-asset-awscli-v1,7408424
aws-cdk-asset-kubectl-v20,1049544
aws-cdk-asset-node-proxy-agent-v6,6137789
aws-cdk-cloud-assembly-schema,6085924
aws-cdk-lib,6951041
aws-embedded-metrics,1902758
aws-encryption-sdk,3474107
aws-kinesis-agg,1278538
aws-lambda-builders,1739246
aws-lambda-powertools,20686695
aws-msk-iam-sasl-signer-python,3007270
aws-requests-auth,24446750
aws-sam-cli,2408031
aws-sam-translator,49256608
aws-secretsmanager-caching,2860203
aws-xray-sdk,21723597
awscli-local,1740376
awscrt,16552750
awslabs-aws-documentation-mcp-server,931092
awslambdaric,3199913
awswrangler,81364175
azure-ai-agents,6093813
azure-ai-contentsafety,931477
azure-ai-contentunderstanding,517703
azure-ai-documentintelligence,8614197
azure-ai-formrecognizer,1950910
azure-ai-ml,3535826
azure-ai-projects,7716388
azure-appconfiguration,8482842
azure-applicationinsights,1342985
azure-batch,28163206
azure-cli,6449476
azure-cli-core,6223659
azure-cli-telemetry,4967580
azure-cognitiveservices-speech,2303497
azure-common,68206919
azure-communication-email,3399459
azure-containerregistry,2042706
azure-core,207936777
azure-core-tracing-opentelemetry,12906874
azure-cosmos,25216419
azure-cosmosdb-nspkg,2485159
azure-cosmosdb-table,2509324
azure-data-tables,12753741
azure-datalake-store,21038614
azure-eventgrid,5197277
azure-eventhub,12056090
azure-functions,5350639
azure-functions-durable,871868
azure-graphrbac,4684187
azure-identity,208184040
azure-keyvault,9646412
azure-keyvault-administration,4743196
azure-keyvault-certificates,13672641
azure-keyvault-keys,15898336
azure-keyvault-secrets,55028661
azure-keyvault-securitydomain,4204718
azure-kusto-data,20480804
azure-kusto-ingest,13886073
azure-loganalytics,1587593
azure-mgmt-advisor,6139320
azure-mgmt-apimanagement,5214757
azure-mgmt-appconfiguration,5010097
azure-mgmt-appcontainers,5024497
azure-mgmt-applicationinsights,6644695
azure-mgmt-authorization,9240761
azure-mgmt-batch,6435762
azure-mgmt-batchai,5997425
azure-mgmt-billing,6028617
azure-mgmt-botservice,4652140
azure-mgmt-cdn,6510599
azure-mgmt-cognitiveservices,7421220
azure-mgmt-commerce,1372202
azure-mgmt-compute,18290919
azure-mgmt-consumption,1585253
azure-mgmt-containerinstance,12300627
azure-mgmt-containerregistry,13596529
azure-mgmt-containerregistrytasks,3375735
azure-mgmt-containerservice,18038960
azure-mgmt-core,39954185
azure-mgmt-cosmosdb,13459582
azure-mgmt-databoxedge,977478
azure-mgmt-datafactory,12766514
azure-mgmt-datalake-analytics,1832048
azure-mgmt-datalake-nspkg,7984101
azure-mgmt-datalake-store,11294566
azure-mgmt-datamigration,6005637
azure-mgmt-devspaces,1350101
azure-mgmt-devtestlabs,2009633
azure-mgmt-dns,3074233
azure-mgmt-eventgrid,6407889
azure-mgmt-eventhub,6730984
azure-mgmt-extendedlocation,4628278
azure-mgmt-hanaonazure,1357180
azure-mgmt-hdinsight,5036326
azure-mgmt-imagebuilder,4650343
azure-mgmt-iotcentral,6003736
azure-mgmt-iothub,6362626
azure-mgmt-iothubprovisioningservices,6008264
azure-mgmt-keyvault,8631600
azure-mgmt-loganalytics,6788369
azure-mgmt-logic,1591517
azure-mgmt-machinelearningcompute,1353974
azure-mgmt-managementgroups,7067698
azure-mgmt-managementpartner,1354888
azure-mgmt-maps,6018010
azure-mgmt-marketplaceordering,6273358
azure-mgmt-media,6015887
azure-mgmt-monitor,7910746
azure-mgmt-msi,15182618
azure-mgmt-mysqlflexibleservers,4587842
azure-mgmt-netapp,4707749
azure-mgmt-network,6733084
azure-mgmt-notificationhubs,1559289
azure-mgmt-nspkg,8111778
azure-mgmt-policyinsights,6722060
azure-mgmt-postgresqlflexibleservers,4785847
azure-mgmt-powerbiembedded,1357114
azure-mgmt-privatedns,5359864
azure-mgmt-rdbms,6876595
azure-mgmt-recoveryservices,6583642
azure-mgmt-recoveryservicesbackup,6549743
azure-mgmt-redhatopenshift,4809190
azure-mgmt-redis,8338578
azure-mgmt-redisenterprise,1123071
azure-mgmt-relay,1442481
azure-mgmt-reservations,2447884
azure-mgmt-resource,21922322
azure-mgmt-resource-deployments,4101610
azure-mgmt-resource-deploymentscripts,4053290
azure-mgmt-resource-deploymentstacks,4196998
azure-mgmt-resource-templatespecs,4054509
azure-mgmt-resourcegraph,2683934
azure-mgmt-scheduler,1362614
azure-mgmt-search,6453454
azure-mgmt-security,5013544
azure-mgmt-servicebus,6826673
azure-mgmt-servicefabric,6059540
azure-mgmt-servicefabricmanagedclusters,4617967
azure-mgmt-servicelinker,4627563
azure-mgmt-signalr,6075882
azure-mgmt-sql,7054605
azure-mgmt-sqlvirtualmachine,4675130
azure-mgmt-storage,17833439
azure-mgmt-subscription,3417771
azure-mgmt-synapse,4893943
azure-mgmt-trafficmanager,6292223
azure-mgmt-web,7473364
azure-monitor-ingestion,2498934
azure-monitor-opentelemetry,16868461
azure-monitor-opentelemetry-exporter,39479968
azure-monitor-query,9702914
azure-multiapi-storage,1612582
azure-nspkg,11538687
azure-schemaregistry,2394420
azure-search-documents,6982886
azure-servicebus,21754026
azure-servicefabric,1544476
azure-servicemanagement-legacy,1355451
azure-storage-blob,131842711
azure-storage-common,10389043
azure-storage-file,2441377
azure-storage-file-datalake,37383434
azure-storage-file-share,17450840
azure-storage-queue,36489177
azure-synapse-accesscontrol,4673249
azure-synapse-artifacts,10539747
azure-synapse-managedprivateendpoints,4637255
azure-synapse-spark,10048395
azureml-core,1608332
azureml-dataprep,859384
azureml-dataprep-native,448590
azureml-dataprep-rslex,467729
azureml-featurestore,972196
azureml-mlflow,2280744
b2luigi,3523594
babel,127432346
backoff,137439956
backports-asyncio-runner,16392169
backports-datetime-fromisoformat,2097927
backports-entry-points-selectable,351712
backports-strenum,8235344
backports-tarfile,73734577
backports-tempfile,1150171
backports-weakref,1161813
backports-zstd,71370990
backrefs,11259633
bandit,24159089
banks,5491463
basedpyright,8360739
bashlex,9176444
bayesian-optimization,1639514
bazel-runfiles,9349439
bc-detect-secrets,4568045
bc-jsonpath-ng,3525897
bc-python-hcl2,3687732
bce-python-sdk,1831947
bcrypt,193648292
beanie,2218075
beartype,75988286
beautifulsoup4,359332431
bedrock-agentcore,6611739
bedrock-agentcore-starter-toolkit,1239313
behave,4836943
betterproto,2486891
betterproto-fw,658195
betterproto2,748574
bibtexparser,1731785
bidict,23549982
bigframes,934576
billiard,48516000
binaryornot,15274235
bindep,1056317
bio,2590617
biopython,8358813
biothings-client,2687097
biotite,3339535
biotraj,1944886
bitarray,23380232
bitsandbytes,6788178
bitstring,5625216
bitstruct,5685713
black,131015811
blake3,9945319
bleach,70749585
bleak,1741823
bleak-retry-connector,760104
blessed,12678611
blessings,1097646
blinker,170928825
blis,19518974
blobfile,13846218
blockbuster,3680860
blosc2,4402702
bluetooth-adapters,536759
bluetooth-auto-recovery,452199
bluetooth-data-tools,1971283
bm25s,1403994
bokeh,7152464
boltons,19316721
boolean-py,26483609
boost-histogram,3951685
boostedblob,9590261
bootstrap-flask,855197
borb,496556
botbuilder-core,960968
botbuilder-schema,1010615
botframework-connector,1009906
botframework-streaming,953804
boto,7792298
boto-session-manager,965827
boto3,3288347607
boto3-stubs,40463711
botocore,1328877725
botocore-stubs,48282513
bottle,11935741
bottleneck,9453320
box-sdk-gen,1029406
boxsdk,3713033
braceexpand,3158080
bracex,34853498
braintree,2088143
braintrust,6481249
braintrust-langchain,1292479
branca,3537885
breathe,1587742
brickflows,952148
brotli,77415994
brotlicffi,6259643
brotlipy,1622444
browser-cookie3,1781879
browserbase,2079867
browserforge,1482648
browsergym-core,1495567
bs4,21758214
btsocket,399344
bubus,6252466
build,147441768
bullmq,1542393
bump-my-version,923537
bump2version,2323037
bumpversion,1466743
burner-redis,11124274
businesstimedelta,1019634
bytecode,34143297
cachebox,9282745
cachecontrol,106950666
cached-property,20978830
cachelib,18943897
cachetools,319270867
cadwyn,13574629
caio,51527834
cairocffi,11843106
cairosvg,11881759
camelot-py,918631
canmatrix,905948
cantools,2684840
capstone,2465104
cart,180801
cartopy,1201111
casadi,879127
casbin,2431392
casefy,6003243
cassandra-driver,8989701
catalogue,20306861
catboost,6464432
category-encoders,2783185
catkin-pkg,889362
cattrs,73424619
causallib,3794986
cbor2,67375751
ccxt,4539135
cdk-nag,3091007
cdp-use,6214980
cel-python,3740756
celery,52027409
celery-redbeat,3897007
celery-types,2999807
cem,3794405
cerebras-cloud-sdk,1100580
certbot,738331
certbot-dns-cloudflare,4759839
certifi,1614263191
certvalidator,885547
cffi,1034165710
cfgv,146884854
cfn-flip,3873199
cfn-lint,94067642
cftime,3925558
chacha20poly1305-reuseable,307746
channels,5489464
channels-redis,4050436
chardet,177432382
chargebee,1228057
charset-normalizer,1434290715
chdb,1989535
chdb-core,385962
check-jsonschema,2799059
check-manifest,1255212
checkov,18719802
cheroot,2475464
chess,2266220
chevron,12868588
chex,2332520
chispa,3080397
chonkie,1123344
chonkie-core,443485
choreographer,6296760
chroma-hnswlib,3866728
chromadb,14228961
chromadb-client,921255
cint,1003759
circuitbreaker,8799715
ciso8601,11695622
ckzg,5560971
clarabel,3052420
claripy,905252
claude-agent-sdk,14786257
cle,913322
cleo,72420070
clerk-backend-api,2248205
cli-exit-tools,1182066
click,972340463
click-aliases,2608601
click-default-group,7784406
click-didyoumean,47186931
click-help-colors,1036992
click-log,3243455
click-option-group,24254461
click-plugins,54087222
click-repl,46869616
clickclick,7049245
clickhouse-connect,23756934
clickhouse-driver,10941973
clickhouse-pool,1114696
cliff,1474368
cligj,8215035
clikit,1325712
clize,1212324
cloud-sql-python-connector,6274646
cloudevents,11373389
cloudflare,8093834
cloudinary,1973297
cloudpathlib,22255172
cloudpickle,127623148
cloudscraper,4208030
cloudsplaining,3642600
cloup,945410
clr-loader,2865172
clusterscope,870746
cma,2001115
cmaes,1528186
cmakelang,865155
cmd2,1881370
cmdstanpy,9516271
cmeel,884881
cmeel-assimp,831161
cmeel-boost,987915
cmeel-console-bridge,808156
cmeel-octomap,812859
cmeel-qhull,807402
cmeel-tinyxml2,708224
cmeel-urdfdom,866776
cmeel-zlib,818469
cmsis-pack-manager,962445
coal,436019
cobble,8490321
codecov,1034589
codeguru-profiler-agent,1063855
codemagic-cli-tools,1521764
codeowners,11769191
codewords-client,10347145
cog,2352689
coglet,18601
cohere,45220676
coiled,945976
coincurve,2632043
collate-data-diff,901334
collate-sqlfluff,585408
collate-sqllineage,1196827
collectfasta,1113046
colorama,424008132
colorcet,2465558
colorclass,5691386
colored,4528074
colored-traceback,698663
coloredlogs,35610861
colorlog,65176129
columnar,1392668
comfyui-workflow-templates,2721835
comfyui-workflow-templates-core,2599838
comfyui-workflow-templates-media-api,2465369
comfyui-workflow-templates-media-image,2544357
comfyui-workflow-templates-media-other,2624404
comfyui-workflow-templates-media-video,2320450
comm,72996582
commitizen,2839722
commonmark,5692083
composio,3012815
composio-client,3046734
compressed-rtf,4070692
compressed-tensors,6586063
conan,3474211
concurrent-log-handler,2738240
confection,18889293
configargparse,18386019
configcat-client,1440788
configobj,6891405
configupdater,6144330
confluent-kafka,56250663
confuse,1616987
connect-python,3340598
connexion,9923020
cons,941088
constantly,11995401
construct,5711132
construct-typing,893606
constructs,8052288
contextlib2,11982359
contourpy,184233201
convertdate,4987457
cookiecutter,8932782
coolname,7371995
coolprop,3100862
copier,1593186
coreapi,1418206
coredis,1396686
coreforecast,1921290
coremltools,2029753
coreschema,1001864
couchbase,868523
country-converter,2243504
courlan,8728794
coverage,266776562
coveralls,1182855
cramjam,28157521
crashtest,75116433
crawl4ai,1674185
crayons,1176699
crc32c,30680805
crccheck,3251791
crcengine,1756588
crcmod,6125509
crcmod-plus,4068689
crispy-bootstrap5,1137686
cron-converter,2329976
cron-descriptor,23186425
cron-validator,1085044
croniter,73292921
cronsim,13514425
cross-web,3045329
crowdstrike-falconpy,1813718
crypto,885768
cryptography,1227079572
cssbeautifier,3317588
csscompressor,850620
cssselect,21919184
cssselect2,38410798
cssutils,8327985
csv-diff,1064201
csvw,1119102
ctranslate2,8783412
cucumber-expressions,2938160
cucumber-tag-expressions,2867537
cuda-bindings,44397428
cuda-pathfinder,42731558
cuda-python,8693869
cuda-tile,2084607
cuid,1151906
culsans,1714992
curated-tokenizers,673917
curated-transformers,663368
curl-cffi,30023082
curlify,9386013
currency-symbols,973099
customerio,1765413
customtkinter,1079743
cw-rpa,6557410
cwsandbox,50798520
cxxheaderparser,213856
cycler,164518895
cyclonedx-bom,1974048
cyclonedx-python-lib,24162411
cyclopts,87296717
cymem,19339328
cython,120689077
cytoolz,7874442
dacite,52306851
daff,22196481
daft,935457
dagster,7228490
dagster-aws,4118846
dagster-celery,1473136
dagster-cloud,3856378
dagster-cloud-cli,3873349
dagster-dbt,2050014
dagster-dg-cli,2300598
dagster-dg-core,1989108
dagster-docker,1735662
dagster-gcp,1036099
dagster-graphql,5798271
dagster-k8s,2994209
dagster-pandas,1150169
dagster-pipes,7214650
dagster-postgres,8457604
dagster-rest-resources,520274
dagster-shared,6306472
dagster-slack,2333445
dagster-webserver,6482391
daphne,4687275
darabonba-core,2752989
darkdetect,1347018
dash,9397636
dash-ag-grid,2008682
dash-bootstrap-components,2659188
dash-extensions,1908317
dashscope,2077555
dask,24992584
dask-expr,8916760
databases,1739456
databento,1065001
databento-dbn,1112778
databricks-agents,6596552
databricks-ai-bridge,1784045
databricks-api,2629004
databricks-cli,14211596
databricks-connect,12340693
databricks-dlt,1790397
databricks-feature-engineering,2770099
databricks-labs-blueprint,19663901
databricks-labs-dqx,5893261
databricks-labs-lsql,4838950
databricks-labs-remorph,1540227
databricks-langchain,2841608
databricks-mcp,1210184
databricks-openai,1110441
databricks-sdk,118561628
databricks-sql-connector,150229957
databricks-sqlalchemy,36318298
databricks-vectorsearch,3503564
databricks-zerobus-ingest-sdk,1065160
dataclass-wizard,4867702
dataclasses-json,77264999
dataclasses-json-speakeasy,993333
datacompy,2983882
datacontract-specification,925772
datadog,67314952
datadog-api-client,28822597
datadog-lambda,2243789
datafusion,4177399
datamodel-code-generator,13766356
dataproperty,3152238
dataset,1982480
datasets,121169538
datasketch,6687648
datasketches,922784
datefinder,3663165
dateparser,40121671
datetime,13886132
dateutils,1754086
daytona,6323932
daytona-api-client,3304820
daytona-api-client-async,3285843
daytona-sdk,500698
daytona-toolbox-api-client,3211748
daytona-toolbox-api-client-async,3229949
db-dtypes,43034222
dbl-tempo,3717901
dbos,988779
dbt-adapters,103635180
dbt-athena,1032142
dbt-bigquery,5458643
dbt-clickhouse,1801022
dbt-common,78739176
dbt-core,108878576
dbt-duckdb,1942527
dbt-exasol,1907920
dbt-extractor,25434122
dbt-fabric,2538788
dbt-postgres,5768217
dbt-protos,31125352
dbt-redshift,3208954
dbt-semantic-interfaces,25922411
dbt-snowflake,9371084
dbt-spark,5573832
dbus-fast,2163637
ddapm-test-agent,2223846
ddgs,7690728
ddsketch,6221763
ddtrace,37584879
debtcollector,1425848
debugpy,97982826
decli,3137654
decopatch,1486685
decorator,231984584
decord,3071201
deep-translator,2126284
deepagents,5621068
deepdiff,79806309
deepeval,5062128
deepgram-sdk,3141000
deepmerge,7629394
deepspeed,1313106
deflate,190029
defusedxml,184864945
delta-kernel-rust-sharing-wrapper,971350
delta-sharing,1392120
delta-spark,35492472
deltalake,27194724
dep-logic,10085675
dependency-groups,6380160
dependency-injector,5552893
deprecated,177679026
deprecation,74245309
deptry,6260856
depyf,3578395
descope,896483
detect-agent,534246
detect-secrets,5355602
devicecheck,1044795
devtools,1664259
diagrams,7567646
dictdiffer,8271477
diff-cover,18299232
diff-match-patch,4245503
diffusers,8080623
dify-plugin,5033556
dill,192264933
dingtalk-stream,1168292
dirhash,9730637
dirtyjson,8312795
discord-py,7147627
diskcache,38019468
diskcache-weave,608271
distlib,295407621
distributed,7953544
distro,304325453
dj-database-url,6526625
django,47910856
django-admin-inline-paginator,1302624
django-admin-sortable2,1498976
django-allauth,4220758
django-anymail,2494125
django-appconf,4319939
django-auditlog,1197129
django-auth-ldap,892534
django-axes,2665693
django-celery-beat,6804435
django-celery-results,4689808
django-choices,1092953
django-compressor,2048293
django-cors-headers,18775189
django-cotton,1064890
django-countries,1967156
django-crispy-forms,2740877
django-csp,3650744
django-debug-toolbar,8261959
django-deprecate-fields,1801207
django-extensions,12852659
django-fernet-fields-v2,1073156
django-filter,14531374
django-formtools,2723784
django-guardian,910343
django-health-check,3255539
django-hijack,1968833
django-htmx,2081343
django-import-export,2674288
django-ipware,4109049
django-js-asset,2323392
django-libsass,1127562
django-linear-migrations,1809658
django-localflavor,935710
django-migration-linter,1014282
django-model-utils,5325377
django-modelcluster,1526465
django-modeltranslation,1105136
django-mptt,1234294
django-mysql,1666126
django-ninja,2599054
django-oauth-toolkit,4587829
django-otp,3445595
django-permissionedforms,1419061
django-pgactivity,1508459
django-pglock,1487422
django-pgmigrate,1127784
django-pgtrigger,1058457
django-phonenumber-field,5156468
django-picklefield,1135614
django-polymorphic,2253786
django-prometheus,3259957
django-pydantic-field,1389751
django-redis,10799082
django-rest-polymorphic,1261843
django-reversion,1835675
django-rq,917067
django-safedelete,1224811
django-scim2,1299063
django-ses,1386631
django-silk,2254755
django-simple-history,3810757
django-storages,10871666
django-structlog,2510377
django-stubs,8273125
django-stubs-ext,9355860
django-tables2,858170
django-taggit,2773521
django-tasks,783752
django-timezone-field,7618785
django-treebeard,2316649
django-two-factor-auth,1978742
django-types,925437
django-unfold,1005868
django-waffle,1352484
django-widget-tweaks,1239427
djangorestframework,25434388
djangorestframework-api-key,2052502
djangorestframework-csv,2621691
djangorestframework-dataclasses,1745366
djangorestframework-role-filters,977530
djangorestframework-simplejwt,7103030
djangorestframework-stubs,4552553
djlint,3193761
dm-tree,4950457
dnslib,1922935
dnspython,263027015
docformatter,1212701
docker,222491979
docker-compose,1229026
docker-image-py,2143281
docker-py,956078
docker-pycreds,11844527
dockerfile-parse,8602615
dockerpty,720035
docling-core,4078393
docling-ibm-models,2966959
docling-parse,3236496
docopt,17446503
docopt-ng,1440548
docstring-parser,220351648
docstring-to-markdown,1178876
docusign-esign,1567366
docutils,234195443
docx2pdf,1865569
docxcompose,1203304
docxtpl,2369921
dogpile-cache,2396933
dohq-artifactory,2075204
domdf-python-tools,1240637
donfig,3869784
dotenv,10727568
dotmap,5122480
dotty-dict,2251531
dparse,4708469
dpath,10333434
dpkt,2923258
draccus,1115648
draftjs-exporter,1525265
drf-exceptions-hog,1109314
drf-extensions,1610906
drf-nested-routers,1776467
drf-spectacular,10620611
drf-spectacular-sidecar,1454801
drf-yasg,2681936
dropbox,2371164
dropbox-sign,991803
dsnparse,430398
dspy,6985800
dspy-ai,1267767
dtlpy,15784
dtlpymetrics,915370
duckdb,42680137
duckdb-engine,2343977
duckduckgo-search,5911339
dukpy,1101103
dulwich,88669765
dunamai,11444519
durationpy,125734879
dvc,2694091
dvc-data,2352917
dvc-http,2078040
dvc-objects,2214826
dvc-render,2108565
dvc-s3,1451483
dvc-studio-client,2223813
dvc-task,2087081
dydantic,1048886
dynaconf,6356447
dynamodb-json,3202330
e2b,4247917
e2b-code-interpreter,2211951
e3nn,1057033
easygui,4808218
easyocr,3272289
ebcdic,4814429
ebooklib,1002135
ec2-metadata,3717526
eccodes,1050038
eccodeslib,695523
ecdsa,52706566
ecos,990173
ecs-logging,2636200
edgartools,900247
edge-tts,7317674
editor,4756767
editorconfig,5543128
eigenpy,1400754
einops,22644427
einx,1640148
elastic-apm,1700889
elastic-transport,35382200
elasticsearch,54581734
elasticsearch-dbapi,1084081
elasticsearch-dsl,8705675
elasticsearch8,882634
elementary-data,1376478
elementpath,7891728
email-validator,187984844
embedchain,990355
embreex,1678009
emoji,17220439
encutils,3440307
enrich,1729513
entrypoints,34031164
enum-compat,6962982
enum-tools,942088
envier,32890174
environs,5039097
envoy-data-plane,1619226
envs,1966583
envyaml,1344953
ephem,2310594
equinox,1687216
eralchemy,3745801
esp-coredump,1208034
esp-idf-kconfig,1273513
esp-idf-size,1256225
esptool,1492061
et-xmlfile,275105346
eth-abi,6619113
eth-account,7098596
eth-hash,6480630
eth-keyfile,5683253
eth-keys,5730829
eth-rlp,6307243
eth-typing,6378007
eth-utils,6719789
etils,7492324
etuples,937770
eval-type-backport,29224382
evaluate,5622325
evdev,1128059
eventlet,8419410
events,30875719
evergreen-lint,1380025
evergreen-py,2429347
evidently,1225275
exa-py,5302447
excel-mcp-server,1232728
exceptiongroup,312238066
exchange-calendars,2724631
